TaskType: Line_Like
EdgeWeightSource: Calculate_from_positions
DistanceFunction: Euclidian_Distance
Dimensions: 2
TimeLimit: 200
WeightMultiplier: Auto
CyclicSequence: False
StartDepot: 1
#FinishDepot: 218
ContourPenalty: 1
BidirectionLineDefault: True

PositionList:
#+-------+---------------------+------------------+
#|   ID  |      Position       |  Name[optional]  |
#+-------+---------------------+------------------+
#| <int> | <double[Dimension]> |     <string>     |
#+-------+---------------------+------------------+
1;[14.20866667;16.63323333]		;Point_1
2;[12.7673;16.5828]				;Point_2
3;[11.4878;16.53255]			;Point_3
4;[9.94235;16.60115]			;Point_4
5;[9.502115;16.647575]			;Point_5
6;[5.70371;16.61334]			;Point_6
7;[4.984918889;16.82752222]		;Point_7
8;[4.182916;17.12871]			;Point_8
9;[3.57080875;17.429325]		;Point_9
10;[2.64126875;17.7530125]		;Point_10
11;[2.009732222;17.97672222]	;Point_11
12;[1.297778556;18.37193333]	;Point_12
13;[0.585612067;18.78054444]	;Point_13
14;[-0.266063805;19.10624762]	;Point_14
15;[-0.303346713;19.50957333]	;Point_15
16;[-0.68354125;19.01525833]	;Point_16
17;[-0.6529572;20.1175]			;Point_17
18;[-1.54589;19.34641429]		;Point_18
19;[-2.127460714;19.96980714]	;Point_19
20;[-3.2927;20.18085]			;Point_20
21;[-3.901952857;20.18847143]	;Point_21
22;[-4.84126625;20.0418375]		;Point_22
23;[-5.469458;19.9365]			;Point_23
24;[-6.339683636;19.28510909]	;Point_24
25;[-6.631566667;18.84054167]	;Point_25
26;[-6.8280475;18.298275]		;Point_26
27;[-7.803685455;17.22272727]	;Point_27
28;[-7.965251667;17.08640833]	;Point_28
29;[-9.166303333;16.78013333]	;Point_29
30;[-11.47218;16.79486]			;Point_30
31;[-11.88312;16.77298]			;Point_31
32;[-13.0425;16.7664]			;Point_32
33;[-14.66495;16.78265]			;Point_33
34;[-9.019131429;-9.214341429]	;Point_34
35;[-9.609276667;-9.471876667]	;Point_35
36;[-10.43965429;-10.01168]		;Point_36
37;[-10.87201667;-10.24803667]	;Point_37
38;[-11.76508;-10.82658]		;Point_38
39;[-12.30615714;-11.03227143]	;Point_39
40;[-13.13716;-11.45316]		;Point_40
41;[-13.81282;-11.83492]		;Point_41
42;[-14.4133;-12.053125]		;Point_42
43;[-4.457016;4.005424]			;Point_43
44;[-5.39308;4.0173]			;Point_44
45;[-6.854493333;4.108506667]	;Point_45
46;[-7.383436667;4.1981]		;Point_46
47;[-8.237702;4.14373]			;Point_47
48;[-9.15862375;4.19995375]		;Point_48
49;[-9.622774375;4.356118125]	;Point_49
50;[-9.865731667;2.993095]		;Point_50
51;[-10.366205;4.956371]		;Point_51
52;[-9.997394286;2.699867143]	;Point_52
53;[-11.01315385;5.016903846]	;Point_53
54;[-11.21635;4.689873333]		;Point_54
55;[-11.4888;3.860405]			;Point_55
